ID,Sex,BM,BH,SH,CA,Dif APHV,APHV,S 0-10,S 10-30,S 0-30,S 30-60,S 0-60,FOST,BOST,TH,FJT,CMJ,DJ,12MR
84,f,81.8,177,92,18.39,4.97,13.41,1.94,2.88,4.82,4.25,9.07,10.45,12.85,6.02,,29.7,1.5,2600
85,f,60,170,89.1,15.85,3.24,12.61,,,4.51,3.87,8.38,12.28,13.66,6.925,,38,1.56,
86,f,50.1,168,86,14.75,2.35,12.4,,,4.41,3.77,8.18,12.25,,,15,,1.66,2185
87,f,60.6,163,85,15.4,2.54,12.86,,,4.48,3.74,8.22,10.8,,,13.33,,1.93,2480
88,f,56.6,169,86,15.22,2.68,12.54,,,4.8,4.17,8.97,9.6,,,12.49,,1.03,2470
89,f,71.3,174.8,93.4,15.32,3.39,11.93,,,4.38,3.58,7.96,13.45,14.84,6.735,,35.7,1.73,
90,f,62.2,161,85,15.6,2.59,13.02,,,4.71,4.28,8.99,11,,,12.12,,1.42,2145
91,f,55.2,169,87,15,2.61,12.39,,,4.47,3.77,8.24,12.17,,,15.34,,1.97,2880
92,f,73,172,91.6,15.66,3.39,12.28,,,4.68,4.01,8.69,13.06,14.13,6.04,,34.8,1.06,2140
93,f,59,162,85,14.57,2.08,12.5,,,4.47,4.01,8.48,11.25,,,12.97,,1.6,2270
94,f,61.5,166,90,14.46,2.41,12.04,,,4.62,4.1,8.72,10.29,,,12.75,,1.53,2055
95,f,48.8,164,87,13.37,1.5,11.87,,,4.42,3.8,8.22,10.66,,,14.98,,1.92,2630
96,f,74.6,178,94,15.02,3.38,11.64,,,,3.67,,13.71,15.13,,,,1.46,2400
97,f,69.7,172.8,92,15.2,3.18,12.02,,,,,8.17,11.94,10.45,,,,0.78,2430
98,f,64.4,174.2,92.5,15.46,3.38,12.09,,,,4.21,,12.41,12.87,,,,1.28,2340
99,f,73.8,164,89.5,16.4,3.39,13.02,,,,,9.25,9.44,11.32,,,,,2150
100,f,62.5,163.8,85.5,13.93,1.86,12.07,,,,,8.89,8.49,10.32,,,,0.81,2330
101,f,75,176.5,93,14.87,3.2,11.67,1.76,2.64,4.4,3.66,8.06,11.32,12.51,8.095,14.62,35,1.18,2390
102,f,81.4,179,93.7,15.86,3.85,12.01,1.812,2.617,4.47,3.841,8.31,14.4,14.2,7.695,13.96,41.2,1.03,2120
103,f,50.1,164.5,86,14.48,2.08,12.4,,,,,8.6,10.17,9.71,,,,1.27,2370
104,f,69.2,178.5,91.5,15.13,3.3,11.83,1.95,2.71,4.66,3.97,8.65,11.59,11.84,7.83,14.13,35.3,1.2,2450
105,f,65.2,183.5,90,15.58,3.64,11.94,1.74,2.59,4.33,3.73,8.06,12.32,13.21,8.97,15.64,36.3,1.19,2430
106,f,64.7,172.5,89.5,15.62,3.24,12.38,1.76,2.57,4.33,3.75,8.08,12.87,13.35,8.45,15.02,38.7,1.79,2280
107,f,57,162.0,84,14.57,2.01,12.57,1.78,2.71,4.49,3.92,8.41,9.99,12.02,7.17,13.5,33.9,1.58,
108,f,70.6,174.0,93,14.2,2.74,11.46,1.8,2.6,4.4,3.66,8.06,13.23,12.90,7.88,14.88,39.5,1.48,2400
109,f,67.3,164.5,90,15.75,3.07,12.67,1.83,2.83,4.66,4.24,8.9,11.7,12.01,6.64,12.36,38.7,1.24,
110,f,70.5,173,88,19.59,5.23,14.36,1.8,2.54,4.34,3.66,8,14.54,15.93,8.155,14.04,41.4,1.1,
111,f,70.2,181.3,96.7,16.31,4.35,11.96,,,,,7.9,16.5,18.6,7.115,,42.5,1.45,
112,f,49.4,160.5,87,15.42,2.5,12.92,1.93,2.63,4.56,3.8,8.36,11.09,11.21,7.965,13.2,36.1,1.65,2840
113,f,54.1,163.0,89,14.23,2.09,12.15,1.87,2.56,4.43,3.69,8.12,12.09,11.49,7.70,13.35,33.4,1.41,2430
114,f,73.1,175.8,90.8,15.85,3.57,12.29,1.8,2.63,4.43,3.89,8.32,16.96,16.96,7.7,14.05,,1.7,2550
115,f,81.3,182,97,17.85,5.21,12.64,1.92,2.67,4.59,3.74,8.33,13.73,14.64,7.405,13.64,38.6,1.48,2310
116,f,57,174,90,17.83,4.53,13.3,1.88,2.76,4.64,3.93,8.57,12.26,12.82,8.36,14.17,42.7,2.21,3100
117,f,64.5,176.1,89.6,15.83,3.49,12.35,,,4.51,3.86,8.37,13.6,12.94,6.41,,31.6,1.61,2700
